maskapai,asal,tujuan,tahun,penumpang,harga
country link,KNO,BTH,2016,95,1762109
water asia,JOG,PDG,2016,134,2580462
rajawali,PKU,BTH,2014,70,1230739
country link,CGK,HLP,2017,93,1723294
country link,BTO,HLP,2014,170,3062678
rajawali,JOG,UPG,2015,82,1482969
country link,CGK,HLP,2014,190,3777482
mataram,BDO,UPG,2016,68,1167166
macan,JOG,DPS,2014,69,1204523
mataram,KNO,UPG,2017,193,3841911
country link,JOG,HLP,2016,136,2606319
water asia,JOG,DPS,2017,164,3201009
mataram,BTO,BTH,2014,114,2177090
water asia,KNO,PDG,2016,60,1010583
country link,PKU,BTH,2017,165,3236507
rajawali,PKU,SRG,2015,131,2500517
country link,BTO,UPG,2016,158,3085796
macan,KNO,UPG,2014,149,2878951
country link,BDO,DPS,2017,108,2050415
country link,CGK,BTH,2014,130,2496741
rajawali,BTO,UPG,2015,191,3780558
mataram,PKU,SRG,2015,187,3703230
water asia,KNO,BTH,2015,83,1493640
country link,BTO,PDG,2016,78,1396884
macan,PKU,UPG,2014,62,1048112
macan,CGK,BTH,2017,75,1336827
rajawali,JOG,DPS,2015,187,3721820
rajawali,KNO,DPS,2014,199,3969358
mataram,PKU,SRG,2014,69,1217734
country link,KNO,DPS,2017,193,3829588
country link,JOG,BTH,2017,127,2441626
water asia,BTO,PDG,2017,168,3301215
water asia,BTO,PDG,2014,175,1429656
mataram,BDO,DPS,2015,143,2762582
rajawali,KNO,UPG,2015,131,2524668
rajawali,BTO,UPG,2016,114,2165805
rajawali,PKU,UPG,2017,132,2536179
water asia,KNO,UPG,2015,170,3337083
country link,BTO,UPG,2015,72,1263310
macan,PKU,HLP,2016,63,1085884
water asia,KNO,UPG,2015,154,2998826
rajawali,BDO,SRG,2014,79,1429033
country link,PKU,DPS,2014,192,3800630
mataram,PKU,BTH,2014,139,2668695
mataram,KNO,HLP,2014,71,1248119
water asia,JOG,SRG,2015,85,1556480
country link,PKU,UPG,2016,81,1465511
rajawali,KNO,UPG,2017,83,1503726
water asia,JOG,SRG,2016,176,3475421
country link,KNO,SRG,2016,131,2514063
mataram,BTO,SRG,2015,133,2563601
macan,PKU,BTH,2015,70,1232520
water asia,JOG,SRG,2016,133,2558834
macan,JOG,HLP,2017,159,3101140
macan,BTO,UPG,2017,187,3703620
macan,BTO,SRG,2016,111,2106235
mataram,KNO,UPG,2016,74,1308402
rajawali,BDO,SRG,2017,167,3283095
country link,PKU,UPG,2017,179,3526522
rajawali,CGK,PDG,2014,171,3366455
water asia,BTO,BTH,2017,119,2282961
country link,KNO,DPS,2017,165,2214556
macan,KNO,PDG,2015,143,2758050
country link,BTO,DPS,2016,127,2431044
mataram,BTO,SRG,2014,122,1444058
country link,PKU,SRG,2016,75,1330256
mataram,BDO,DPS,2015,142,2726688
mataram,PKU,SRG,2017,78,3898769
mataram,CGK,DPS,2017,93,1719836
water asia,JOG,HLP,2014,104,1937739
rajawali,CGK,BTH,2016,83,1499263
mataram,BTO,SRG,2017,64,1093063
water asia,BTO,BTH,2014,141,2950596
country link,JOG,DPS,2017,107,2005933
rajawali,BDO,HLP,2016,99,1843969
water asia,BDO,HLP,2016,130,2493073
rajawali,CGK,BTH,2016,142,2732937
mataram,KNO,BTH,2014,106,1991740
macan,JOG,UPG,2017,132,2527573
mataram,JOG,SRG,2015,167,3274879
country link,JOG,BTH,2017,155,3019903
macan,JOG,SRG,2016,103,1924891
water asia,BTO,HLP,2014,119,2267658
rajawali,KNO,UPG,2015,116,2211909
water asia,BTO,SRG,2016,188,3735179
macan,PKU,UPG,2014,182,1628905
mataram,PKU,DPS,2015,168,3305294
country link,BDO,SRG,2014,75,1330519
macan,PKU,HLP,2017,113,2158005
macan,KNO,BTH,2015,107,2025338
mataram,CGK,PDG,2014,79,1428734
country link,BTO,BTH,2017,172,3383293
country link,CGK,BTH,2014,65,1116917
country link,CGK,BTH,2016,74,1303924
mataram,BDO,BTH,2015,136,2616913
water asia,BDO,HLP,2017,153,2970432
macan,CGK,BTH,2017,180,3565047
mataram,KNO,DPS,2017,153,2969582
mataram,BTO,DPS,2017,99,1845787
country link,PKU,DPS,2014,77,1384589
macan,BTO,SRG,2017,149,2891197
rajawali,BTO,SRG,2015,122,2344227
country link,BTO,PDG,2016,196,1404697
macan,BDO,HLP,2015,123,1546500
macan,KNO,BTH,2015,144,2785278
mataram,BTO,UPG,2017,74,1313633
macan,CGK,PDG,2014,68,1179780
rajawali,BTO,DPS,2015,177,3481169
macan,BTO,BTH,2014,75,1317707
macan,KNO,HLP,2015,136,2618385
rajawali,PKU,DPS,2014,90,1578201
water asia,JOG,SRG,2014,105,1960665
country link,JOG,BTH,2016,82,1471709
macan,KNO,UPG,2014,197,3916485
country link,CGK,HLP,2017,145,2806879
macan,BTO,UPG,2017,181,3569846
country link,KNO,PDG,2014,119,2267464
mataram,BDO,SRG,2015,197,3921372
macan,PKU,DPS,2017,74,1531566
country link,CGK,SRG,2014,76,1358971
rajawali,JOG,DPS,2016,159,3098778
rajawali,CGK,DPS,2014,148,2853606
country link,KNO,SRG,2014,96,1778684
country link,BDO,UPG,2016,73,1292581
macan,BDO,PDG,2015,109,2070350
country link,PKU,UPG,2016,188,3730672
rajawali,CGK,UPG,2016,194,3851245
mataram,BTO,HLP,2016,72,1278351
mataram,BDO,UPG,2017,158,3079812
mataram,CGK,UPG,2014,97,1804668
rajawali,CGK,SRG,2015,115,2188198
mataram,JOG,HLP,2014,82,1475119
water asia,BTO,UPG,2015,100,1863752
mataram,BTO,PDG,2017,126,2421175
mataram,CGK,DPS,2016,142,2731672
water asia,CGK,UPG,2016,157,3056924
water asia,PKU,DPS,2016,166,3268549
mataram,BTO,UPG,2016,141,2706624
water asia,CGK,UPG,2015,196,3896690
water asia,CGK,HLP,2014,94,1743678
mataram,BDO,BTH,2017,114,3350246
macan,KNO,PDG,2016,161,3141190
rajawali,BDO,HLP,2014,64,1092775
rajawali,KNO,SRG,2015,60,1004882
country link,BDO,SRG,2014,63,1073178
rajawali,BDO,UPG,2016,132,2539480
mataram,JOG,BTH,2015,155,3019915
mataram,JOG,PDG,2014,68,1184934
water asia,BDO,PDG,2014,69,1193176
macan,KNO,SRG,2016,189,3759922
macan,JOG,UPG,2015,155,3011929
mataram,BDO,HLP,2015,81,1468307
macan,JOG,SRG,2017,68,1176139
macan,CGK,BTH,2016,84,1531872
water asia,BTO,SRG,2014,112,2124891
water asia,BTO,DPS,2016,196,3901726
mataram,KNO,UPG,2014,108,2265676
country link,JOG,UPG,2016,148,2867508
macan,JOG,BTH,2015,73,1286140
rajawali,BTO,PDG,2016,76,1342789
rajawali,KNO,DPS,2014,166,3257905
mataram,KNO,SRG,2015,133,2554882
mataram,JOG,SRG,2016,79,1428514
macan,BTO,SRG,2016,171,3364856
country link,PKU,UPG,2014,73,1420857
water asia,BDO,UPG,2014,73,1278514
mataram,CGK,UPG,2014,194,3854979
water asia,BTO,DPS,2017,125,2398364
macan,BDO,UPG,2015,193,3830877
macan,PKU,UPG,2016,96,1792978
water asia,BTO,SRG,2017,115,2203301
rajawali,PKU,DPS,2017,143,2763954
rajawali,CGK,DPS,2017,90,1653267
rajawali,KNO,BTH,2017,178,3514958
mataram,KNO,HLP,2016,146,2824687
mataram,KNO,BTH,2016,181,3574688
country link,BDO,UPG,2017,125,2388506
mataram,BTO,HLP,2017,62,1050194
country link,PKU,UPG,2017,71,1258268
rajawali,BDO,UPG,2017,186,3685284
country link,JOG,BTH,2014,69,1209969
macan,JOG,BTH,2017,106,1994126
macan,KNO,DPS,2016,121,2320673
macan,BTO,BTH,2015,189,3746135
rajawali,PKU,DPS,2014,64,1097691
country link,PKU,PDG,2015,168,3309679
water asia,BTO,PDG,2015,157,3064456
macan,KNO,DPS,2016,195,3872259
rajawali,PKU,UPG,2014,73,3734752
macan,BDO,SRG,2015,86,1582480
country link,PKU,UPG,2015,178,3514055
mataram,JOG,DPS,2014,191,3791003
mataram,PKU,BTH,2014,91,3755118
country link,KNO,BTH,2014,97,1797002
country link,KNO,UPG,2017,193,3277623
water asia,CGK,SRG,2016,130,2495904
country link,BDO,HLP,2017,133,2555218
mataram,BTO,PDG,2015,76,1451290
country link,KNO,BTH,2014,181,3578649
rajawali,JOG,SRG,2014,107,2025405
country link,BDO,HLP,2014,200,1160015
mataram,CGK,HLP,2016,184,3649108
rajawali,CGK,PDG,2015,111,2120713
macan,KNO,UPG,2017,121,2316261
water asia,KNO,HLP,2016,67,1147994
mataram,CGK,UPG,2015,111,2105892
rajawali,PKU,DPS,2017,82,1478427
macan,PKU,UPG,2017,82,1416274
country link,KNO,UPG,2016,131,2512390
mataram,JOG,UPG,2017,104,1942357
rajawali,PKU,SRG,2016,174,3415094
water asia,JOG,HLP,2014,113,2145229
water asia,CGK,SRG,2016,116,2212489
mataram,PKU,HLP,2014,164,3212180
mataram,BDO,BTH,2016,105,1963710
mataram,KNO,SRG,2014,186,3692131
country link,CGK,DPS,2016,191,3782822
water asia,BDO,HLP,2015,185,3668976
rajawali,BDO,DPS,2015,176,3476683
rajawali,BDO,PDG,2016,174,3430769
country link,CGK,DPS,2014,170,2170764
mataram,JOG,BTH,2017,122,1322104
mataram,CGK,HLP,2017,155,3016606
country link,BTO,SRG,2017,60,1016952
rajawali,BTO,HLP,2017,169,2657603
rajawali,BTO,UPG,2015,92,1690999
country link,KNO,UPG,2017,84,1515389
rajawali,CGK,BTH,2016,92,1703492
country link,KNO,HLP,2015,98,1821136
water asia,BTO,DPS,2017,152,2942106
water asia,PKU,UPG,2015,130,2492095
water asia,JOG,DPS,2017,107,2027511
country link,PKU,BTH,2014,180,3547039
water asia,BTO,PDG,2015,109,2078394
country link,CGK,PDG,2017,72,1266257
mataram,CGK,SRG,2017,156,3041570
water asia,PKU,HLP,2015,147,2834009
country link,BDO,SRG,2014,195,3865044
country link,PKU,BTH,2016,114,2681512
water asia,BDO,HLP,2017,169,3325183
macan,BDO,PDG,2015,119,2267879
mataram,CGK,PDG,2015,98,1821497
macan,BDO,SRG,2016,101,1883479
water asia,CGK,HLP,2014,97,1731699
water asia,JOG,UPG,2014,66,1143398
water asia,JOG,DPS,2017,194,3858972
country link,KNO,BTH,2015,101,1874256
mataram,KNO,HLP,2014,169,3326491
rajawali,BDO,SRG,2014,101,1877014
water asia,PKU,HLP,2015,102,3817411
water asia,BDO,PDG,2014,157,3050608
water asia,KNO,UPG,2014,104,1194160
water asia,BTO,UPG,2014,175,3437493
rajawali,PKU,HLP,2017,164,3222713
macan,KNO,SRG,2014,198,3946439
country link,BTO,PDG,2014,100,1863564
country link,JOG,DPS,2015,79,1425993
rajawali,BTO,PDG,2014,122,2335657
mataram,KNO,HLP,2016,111,2103413
mataram,BTO,SRG,2016,146,2227382
country link,BDO,UPG,2015,161,3155178
country link,BDO,HLP,2016,199,3959115
country link,JOG,PDG,2017,200,3979146
rajawali,BTO,HLP,2014,130,2488222
rajawali,BTO,HLP,2015,94,1752491
macan,BDO,DPS,2017,135,2597681
macan,BTO,SRG,2017,180,3561313
country link,BDO,DPS,2014,94,1741410
country link,BTO,DPS,2016,200,3974585
country link,PKU,PDG,2014,130,2491379
country link,CGK,PDG,2017,180,3565104
rajawali,PKU,UPG,2015,177,3490705
country link,BTO,DPS,2016,155,3007375
country link,PKU,BTH,2017,166,3253711
country link,CGK,BTH,2014,158,3081775
macan,CGK,BTH,2015,195,3881608
macan,KNO,UPG,2014,99,1846030
country link,JOG,BTH,2015,147,2839951
macan,CGK,DPS,2017,79,1415978
water asia,JOG,HLP,2014,79,1501549
country link,BTO,PDG,2017,109,2070935
macan,BDO,BTH,2014,172,3393640
rajawali,PKU,BTH,2016,73,1281482
country link,BDO,HLP,2016,141,2722223
mataram,PKU,BTH,2014,95,1768518
country link,PKU,UPG,2017,135,2594901
water asia,BDO,PDG,2015,71,1241398
macan,JOG,DPS,2017,140,2695499
water asia,BTO,BTH,2017,84,1525522
mataram,CGK,SRG,2016,130,2491071
rajawali,PKU,UPG,2016,65,1110788
country link,JOG,DPS,2015,108,2040032
rajawali,BTO,UPG,2014,65,1113500
water asia,JOG,SRG,2017,88,1613498
rajawali,BTO,DPS,2015,110,2088840
macan,CGK,SRG,2015,148,2871176
macan,BDO,HLP,2015,173,3980451
mataram,BTO,UPG,2017,137,2639201
country link,PKU,UPG,2015,188,2814055
rajawali,BTO,HLP,2015,150,2910235
country link,BDO,HLP,2016,129,2476923
macan,BTO,HLP,2017,84,1510664
mataram,PKU,UPG,2014,106,1993815
rajawali,BTO,PDG,2014,107,2011121
macan,PKU,DPS,2017,142,2738811
water asia,JOG,BTH,2016,150,2910164
rajawali,JOG,HLP,2014,195,3874479
mataram,BTO,UPG,2014,166,3249304
mataram,JOG,BTH,2016,62,1051016
rajawali,JOG,HLP,2014,180,3553729
water asia,JOG,UPG,2014,180,3551285
water asia,BTO,DPS,2014,80,1439991
water asia,CGK,DPS,2015,115,2198786
macan,CGK,SRG,2016,119,2274927
water asia,PKU,DPS,2014,145,2802520
country link,BDO,DPS,2017,174,3424624
macan,BDO,DPS,2015,173,3411216
water asia,KNO,UPG,2015,130,2498430
rajawali,KNO,HLP,2015,164,3207454
country link,JOG,BTH,2015,140,2692026
macan,BDO,DPS,2016,150,2903856
water asia,BTO,HLP,2015,153,2967009
rajawali,BTO,DPS,2014,136,2690747
mataram,KNO,SRG,2017,91,1674766
country link,BDO,DPS,2017,170,3345822
macan,KNO,HLP,2016,100,1863261
mataram,JOG,HLP,2017,87,1094431
macan,JOG,BTH,2015,166,3261225
macan,JOG,DPS,2014,81,1469512
rajawali,PKU,DPS,2016,171,3377386
macan,KNO,PDG,2016,79,2603955
rajawali,JOG,PDG,2016,121,2310780
mataram,PKU,UPG,2017,79,1422449
macan,PKU,UPG,2015,118,2260993
rajawali,PKU,UPG,2016,165,3235380
macan,PKU,HLP,2014,176,3467786
mataram,KNO,DPS,2017,142,2726952
country link,KNO,UPG,2016,77,1379010
water asia,PKU,HLP,2016,115,2190825
country link,BDO,HLP,2017,89,1640781
rajawali,JOG,HLP,2014,176,3474931
macan,KNO,DPS,2016,181,3567430
mataram,KNO,SRG,2017,179,3522194
macan,CGK,UPG,2015,173,3406193
rajawali,PKU,PDG,2014,187,3717350
macan,JOG,BTH,2016,154,2986577
water asia,BTO,BTH,2017,67,1150682
macan,BTO,DPS,2017,102,1893126
mataram,BTO,BTH,2017,140,2691388
macan,KNO,SRG,2017,193,3837753
water asia,PKU,PDG,2016,143,2755107
rajawali,PKU,DPS,2015,180,3558309
country link,BDO,BTH,2014,163,3196660
mataram,PKU,SRG,2017,159,3098862
rajawali,BDO,UPG,2015,92,1684331
mataram,JOG,HLP,2014,168,3301873
rajawali,KNO,SRG,2015,104,1938745
mataram,CGK,HLP,2015,75,1333321
water asia,BDO,HLP,2016,177,3678665
country link,BDO,BTH,2017,164,3216927
mataram,PKU,PDG,2015,164,3205847
country link,CGK,UPG,2016,74,1301434
country link,BTO,BTH,2015,143,2761397
mataram,JOG,HLP,2016,130,2497236
rajawali,CGK,UPG,2017,102,1893919
macan,CGK,BTH,2015,167,3275868
mataram,BTO,UPG,2014,168,3306599
mataram,JOG,HLP,2017,151,2936978
country link,JOG,BTH,2014,187,3704984
country link,PKU,SRG,2014,178,3510436
macan,KNO,SRG,2017,128,2449946
macan,PKU,UPG,2017,191,3782091
rajawali,KNO,UPG,2016,178,3497880
water asia,KNO,UPG,2015,192,3815883
water asia,CGK,PDG,2017,100,1861326
rajawali,KNO,PDG,2017,131,2517936
mataram,PKU,UPG,2017,132,2539911
water asia,CGK,DPS,2017,161,3156842
water asia,KNO,DPS,2016,90,1483473
rajawali,BTO,BTH,2017,73,1282380
rajawali,BDO,DPS,2016,90,1646511
rajawali,BDO,DPS,2015,106,2002642
rajawali,CGK,HLP,2014,131,2508703
macan,PKU,SRG,2017,71,1239240
mataram,JOG,UPG,2016,65,1120067
rajawali,PKU,BTH,2015,158,3074114
mataram,JOG,PDG,2014,193,3836197
rajawali,BDO,HLP,2014,78,1407948
water asia,BDO,HLP,2015,108,2040412
country link,JOG,SRG,2015,187,3710958
mataram,CGK,HLP,2014,147,2835260
rajawali,PKU,DPS,2015,93,1725609
country link,BTO,UPG,2014,111,2113070
mataram,BTO,DPS,2016,78,1393950
country link,CGK,UPG,2014,147,2838113
water asia,JOG,UPG,2017,142,2744143
macan,BDO,DPS,2016,109,2055314
rajawali,JOG,UPG,2015,156,3027620
rajawali,PKU,UPG,2016,109,2077095
rajawali,BTO,SRG,2015,69,1207825
mataram,BDO,BTH,2014,194,3859188
macan,CGK,BTH,2015,106,1992030
mataram,BDO,UPG,2016,136,2621466
mataram,PKU,SRG,2017,164,2814552
macan,JOG,UPG,2014,171,3376827
water asia,PKU,UPG,2014,147,2846787
rajawali,CGK,UPG,2014,105,1961078
mataram,CGK,BTH,2017,187,3711713
rajawali,CGK,DPS,2015,155,3578010
rajawali,JOG,BTH,2016,71,1252349
country link,KNO,BTH,2016,150,2915311
mataram,PKU,HLP,2014,118,2604305
mataram,KNO,PDG,2014,87,1593968
water asia,BDO,UPG,2016,145,2800384
country link,CGK,BTH,2016,81,1457880
mataram,BTO,SRG,2015,121,2314005
rajawali,PKU,HLP,2016,193,3840315
country link,KNO,UPG,2017,135,2590516
macan,BTO,UPG,2015,109,2073252
water asia,JOG,HLP,2016,97,1799532
rajawali,KNO,HLP,2016,98,1816729
macan,PKU,DPS,2017,60,3037980
country link,BDO,PDG,2015,165,3241405
country link,BTO,UPG,2016,197,3905687
macan,PKU,SRG,2016,99,1834311
water asia,KNO,DPS,2015,140,2694073
country link,JOG,BTH,2014,161,3146788
rajawali,JOG,PDG,2017,85,1542486
country link,KNO,UPG,2015,103,1923277
country link,BDO,SRG,2016,63,1076635
country link,CGK,SRG,2017,131,2502202
mataram,CGK,PDG,2016,195,3873668
country link,PKU,PDG,2014,182,3594803
mataram,PKU,UPG,2015,199,3959868
country link,KNO,PDG,2014,134,2581408
country link,BTO,DPS,2014,200,3989482
macan,JOG,BTH,2014,91,1683357
macan,BTO,UPG,2016,156,1637491
mataram,BDO,DPS,2014,146,2815768
macan,BDO,DPS,2017,105,1966818
water asia,PKU,BTH,2016,190,3779729
macan,CGK,HLP,2016,183,3616231
water asia,JOG,SRG,2016,154,3002089
macan,KNO,UPG,2017,188,3729305
macan,JOG,UPG,2015,167,2974789
mataram,KNO,BTH,2014,187,3713614
mataram,PKU,BTH,2016,87,3179478
water asia,BDO,BTH,2016,136,2630123
macan,PKU,SRG,2014,61,1040283
country link,BTO,UPG,2015,70,1235382
rajawali,PKU,DPS,2017,137,2644098
macan,BDO,PDG,2017,100,1851362
country link,PKU,UPG,2015,153,2968628
mataram,JOG,BTH,2017,109,2056846
rajawali,CGK,HLP,2015,194,3858210
mataram,BDO,SRG,2014,86,1584823
macan,JOG,HLP,2017,61,3963643
mataram,PKU,DPS,2015,188,3731438
macan,BTO,HLP,2017,109,2072438
water asia,JOG,BTH,2014,89,1643586
water asia,CGK,PDG,2014,103,1926501
country link,PKU,PDG,2016,101,1871831
macan,JOG,DPS,2015,154,2988931
country link,CGK,SRG,2014,130,2483598
water asia,BDO,UPG,2016,131,2499397
rajawali,BTO,SRG,2017,137,2632184
macan,BTO,SRG,2017,161,3154805
mataram,BDO,SRG,2016,124,2384265
macan,BTO,PDG,2017,190,3762888
country link,BTO,DPS,2016,76,1349478
country link,KNO,UPG,2017,119,1716974
water asia,BTO,HLP,2016,178,3503918
mataram,KNO,BTH,2015,75,1326833
country link,PKU,PDG,2016,175,3438145
mataram,BDO,PDG,2014,107,2020168
mataram,BDO,BTH,2014,111,2100207
water asia,JOG,UPG,2015,189,3743631
macan,KNO,PDG,2016,82,1486047
macan,CGK,HLP,2014,193,3830857
rajawali,BDO,SRG,2014,151,1224951
rajawali,BTO,DPS,2014,172,3385863
water asia,CGK,BTH,2014,77,1378877
water asia,JOG,BTH,2016,106,1984345
water asia,BTO,BTH,2015,154,3004787
rajawali,JOG,PDG,2016,182,3592931
macan,JOG,HLP,2016,162,3168068
country link,KNO,UPG,2016,167,3271544
rajawali,CGK,BTH,2015,97,1795454
water asia,BDO,DPS,2014,149,2887224
country link,PKU,SRG,2016,187,3707207
rajawali,JOG,PDG,2014,82,1486731
mataram,JOG,UPG,2017,108,2035674
mataram,JOG,BTH,2016,108,2662837
rajawali,KNO,PDG,2014,106,1989445
mataram,BTO,BTH,2017,189,3751932
mataram,JOG,SRG,2016,100,1860842
mataram,CGK,SRG,2017,104,2779154
rajawali,BDO,PDG,2017,163,3791145
rajawali,CGK,HLP,2016,120,2299354
water asia,BDO,SRG,2017,162,3167785
rajawali,JOG,HLP,2017,68,1185210
macan,PKU,DPS,2014,100,1863187
water asia,BDO,UPG,2016,148,2865695
country link,BDO,DPS,2014,106,1996586
rajawali,BTO,UPG,2017,150,2907995
water asia,BTO,HLP,2015,151,2918739
rajawali,PKU,SRG,2014,169,3334314
macan,BTO,HLP,2017,79,1426427
macan,JOG,UPG,2015,179,3529378
country link,KNO,UPG,2014,143,2756300
country link,BTO,DPS,2015,154,2994241
water asia,PKU,PDG,2016,188,3738208
mataram,JOG,PDG,2016,84,1514524
water asia,BDO,SRG,2017,161,1152998
rajawali,KNO,DPS,2017,92,1695111
country link,KNO,UPG,2015,167,3281202
macan,JOG,SRG,2014,178,1767140
rajawali,BDO,UPG,2014,179,3534293
rajawali,PKU,BTH,2014,199,3965286
country link,KNO,DPS,2017,158,3073524
rajawali,BTO,SRG,2017,194,3848870
macan,CGK,HLP,2017,129,2475028
country link,KNO,SRG,2014,200,3984730
rajawali,CGK,BTH,2016,129,2464266
rajawali,KNO,BTH,2014,195,3885411
macan,BDO,DPS,2016,162,3164042
country link,PKU,HLP,2015,110,2087212
country link,CGK,HLP,2016,142,2417011
mataram,BDO,HLP,2015,138,2654947
mataram,BDO,UPG,2014,194,3864895
macan,BTO,HLP,2016,198,3940692
macan,BTO,BTH,2015,179,3532182
water asia,BTO,PDG,2015,134,1803784
mataram,BTO,DPS,2017,153,2960876
water asia,JOG,UPG,2016,119,2269677
macan,BDO,BTH,2014,70,1223205
macan,JOG,HLP,2015,132,2542149
mataram,CGK,HLP,2015,99,1828374
water asia,CGK,HLP,2015,197,3922803
macan,BDO,HLP,2014,161,3139212
water asia,BDO,SRG,2014,96,1781982
country link,PKU,BTH,2015,119,2266517
rajawali,KNO,SRG,2017,145,1045351
macan,KNO,DPS,2017,170,3342920
water asia,BTO,BTH,2014,170,3348287
mataram,PKU,DPS,2017,133,2545707
mataram,BTO,PDG,2015,85,1543151
mataram,BTO,PDG,2016,97,1795851
mataram,BDO,UPG,2017,135,2600883
country link,BDO,SRG,2015,79,1414033
country link,JOG,SRG,2016,76,1346211
macan,BDO,BTH,2016,146,2809913
water asia,BDO,BTH,2017,127,2433717
water asia,BTO,DPS,2014,88,1611870
rajawali,BTO,PDG,2014,63,1071802
water asia,BDO,UPG,2017,88,1618237
rajawali,PKU,PDG,2017,180,3546681
macan,CGK,HLP,2015,67,1148888
rajawali,BTO,UPG,2017,180,3558651
mataram,PKU,HLP,2017,152,2945265
mataram,CGK,DPS,2014,151,2926070
macan,KNO,HLP,2014,74,3686547
macan,CGK,UPG,2017,177,3490185
macan,BTO,UPG,2015,72,1273787
water asia,BTO,SRG,2014,185,3655687
country link,KNO,HLP,2015,75,2330332
country link,BTO,DPS,2015,191,3784806
country link,BDO,SRG,2016,125,2390238
macan,KNO,SRG,2015,115,2199549
mataram,CGK,UPG,2016,121,2323221
water asia,BTO,DPS,2014,132,2539968
mataram,BDO,UPG,2015,159,3109237
water asia,PKU,PDG,2015,196,3895175
macan,PKU,UPG,2015,90,1650606
country link,JOG,HLP,2017,60,3349054
water asia,BDO,DPS,2014,92,1688625
macan,KNO,SRG,2015,79,1426116
mataram,KNO,DPS,2015,110,2087950
country link,BDO,BTH,2016,144,2779158
macan,BTO,BTH,2017,105,1978956
mataram,PKU,SRG,2017,137,2646299
mataram,JOG,BTH,2014,174,3428857
rajawali,PKU,BTH,2015,86,1579544
macan,BDO,BTH,2016,88,1613008
water asia,CGK,SRG,2014,83,1492210
country link,CGK,BTH,2017,60,1010914
macan,PKU,SRG,2017,163,3178365
mataram,PKU,HLP,2017,95,1760057
country link,CGK,SRG,2017,197,3927444
country link,KNO,HLP,2014,81,1451577
water asia,BTO,BTH,2014,166,1250019
rajawali,BTO,DPS,2015,90,1661615
rajawali,PKU,SRG,2017,133,2554544
country link,KNO,SRG,2017,183,3609149
macan,BDO,SRG,2015,71,1239945
country link,PKU,UPG,2017,106,2005263
country link,KNO,HLP,2016,174,3422065
water asia,CGK,BTH,2017,100,1866748
country link,KNO,HLP,2016,159,3105541
rajawali,BDO,PDG,2014,157,3058099
macan,PKU,DPS,2017,82,1487667
macan,JOG,HLP,2014,61,1025918
country link,JOG,BTH,2016,75,1320452
rajawali,JOG,HLP,2015,187,3714998
country link,KNO,HLP,2014,143,2750787
country link,CGK,BTH,2016,165,3229454
rajawali,PKU,UPG,2014,149,2887447
water asia,CGK,HLP,2016,174,2897926
